,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,wbEconomy,wbCode,wbRegion,wbIncome_group,wbLending category,wbOther (EMU or HIPC)
477,AFG,Asia,Afghanistan,2021-06-15,93272.0,1814.0,1563.714,3683.0,71.0,61.714,2395.992,46.598,40.169000000000004,94.61,1.824,1.585,1.22,,,,,,,,,,,,,,,,,,,,,,4813.0,,,,124.0,46.3,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,Afghanistan,AFG,South Asia,4_Low income,IDA,HIPC
976,ALB,Europe,Albania,2021-06-15,132469.0,8.0,10.286,2454.0,1.0,0.28600000000000003,46031.343,2.78,3.574,852.735,0.34700000000000003,0.099,0.62,,,,,,,,,,,,,,,,,,848430.0,507854.0,340576.0,5895.0,5491.0,29.48,17.65,11.83,1908.0,37.96,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,Albania,ALB,Europe & Central Asia,2_Upper middle income,IBRD,
1475,DZA,Africa,Algeria,2021-06-15,134115.0,373.0,352.57099999999997,3588.0,9.0,7.2860000000000005,3058.422,8.506,8.04,81.822,0.205,0.166,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,Algeria,DZA,Middle East & North Africa,3_Lower middle income,IBRD,
1968,AND,Europe,Andorra,2021-06-15,13828.0,2.0,6.7139999999999995,127.0,0.0,0.0,178968.485,25.885,86.899,1643.694,0.0,0.0,0.8,,,,,,,,,,,,,160.0,2.0709999999999997,0.042,23.8,people tested,,,,,1428.0,,,,18482.0,43.52,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,Andorra,AND,Europe & Central Asia,1_High income,,
2443,AGO,Africa,Angola,2021-06-15,36921.0,131.0,131.0,842.0,6.0,5.571000000000001,1123.371,3.986,3.986,25.619,0.183,0.17,0.88,,,,,,,,,,,,,,,,,,1314375.0,822109.0,492266.0,,28351.0,4.0,2.5,1.5,863.0,41.67,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,Angola,AGO,Sub-Saharan Africa,3_Lower middle income,IBRD,
2925,ATG,North America,Antigua and Barbuda,2021-06-15,1263.0,0.0,0.0,42.0,0.0,0.0,12897.231000000002,0.0,0.0,428.88699999999994,0.0,0.0,0.16,,,,,,,,,,,,,,,,,,59582.0,35257.0,24325.0,,273.0,60.84,36.0,24.84,2788.0,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,Antigua and Barbuda,ATG,Latin America & Caribbean,1_High income,IBRD,
3479,ARG,South America,Argentina,2021-06-15,4172742.0,27260.0,23424.429,86615.0,586.0,564.0,92325.927,603.154,518.288,1916.44,12.966,12.479000000000001,0.88,,,,,,,,,38801.0,10764396.0,238.173,0.8590000000000001,34186.0,0.7559999999999999,0.251,4.0,tests performed,16643769.0,13223188.0,3420581.0,261726.0,282852.0,36.83,29.26,7.57,6258.0,77.78,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,Argentina,ARG,Latin America & Caribbean,2_Upper middle income,IBRD,
3973,ARM,Asia,Armenia,2021-06-15,223805.0,82.0,74.286,4489.0,1.0,3.714,75527.27900000001,27.671999999999997,25.069000000000003,1514.899,0.337,1.253,0.94,,,,,,,,,3784.0,1131239.0,381.75800000000004,1.2770000000000001,3310.0,1.117,0.022000000000000002,44.6,tests performed,,,,,1178.0,,,,398.0,,2963234.0,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,1.8,341.01,7.11,1.5,52.1,94.04299999999999,4.2,75.09,0.7759999999999999,,Armenia,ARM,Europe & Central Asia,2_Upper middle income,IBRD,
4074,ABW,North America,Aruba,2021-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122269.0,66336.0,55933.0,395.0,653.0,114.52,62.13,52.39,6116.0,33.33,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,Aruba,ABW,Latin America & Caribbean,1_High income,,
4603,AUS,Oceania,Australia,2021-06-15,30286.0,13.0,10.857000000000001,910.0,0.0,0.0,1187.692,0.51,0.426,35.686,0.0,0.0,1.14,,,,,,,,,40751.0,19394794.0,760.584,1.598,53893.0,2.113,0.0,4963.9,tests performed,5931245.0,5232353.0,698892.0,63946.0,103895.0,23.26,20.52,2.74,4074.0,53.24,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.9440000000000001,,Australia,AUS,East Asia & Pacific,1_High income,,
