,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,wbEconomy,wbCode,wbRegion,wbIncome_group,wbLending category,wbOther (EMU or HIPC)
61,ALB,Europe,Albania,2021-07-06,132544.0,7.0,4.2860000000000005,2456.0,0.0,0.0,46057.405,2.432,1.489,853.43,0.0,0.0,,,,,,,,,,,,,,,,,,,1000063.0,576905.0,423158.0,5982.0,6366.0,34.75,20.05,14.7,2212.0,,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,Albania,ALB,Europe & Central Asia,2_Upper middle income,IBRD,
107,ATG,North America,Antigua and Barbuda,2021-07-06,1265.0,1.0,0.28600000000000003,42.0,0.0,0.0,12917.653999999999,10.212,2.918,428.88699999999994,0.0,0.0,,,,,,,,,,,,,,,,,,,64823.0,36749.0,28074.0,,118.0,66.19,37.53,28.67,1205.0,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,Antigua and Barbuda,ATG,Latin America & Caribbean,1_High income,IBRD,
271,ARG,South America,Argentina,2021-07-06,4574340.0,21590.0,18091.286,96983.0,462.0,473.57099999999997,101211.66900000001,477.699,400.287,2145.842,10.222000000000001,10.478,,,,,,,,,,,,,,,,,,,22813398.0,18246811.0,4566587.0,369269.0,370243.0,50.48,40.37,10.1,8192.0,,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,Argentina,ARG,Latin America & Caribbean,2_Upper middle income,IBRD,
349,ABW,North America,Aruba,2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129162.0,68478.0,60684.0,587.0,396.0,120.98,64.14,56.84,3709.0,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,Aruba,ABW,Latin America & Caribbean,1_High income,,
387,AUS,Oceania,Australia,2021-07-06,30861.0,30.0,37.0,910.0,0.0,0.0,1210.241,1.176,1.4509999999999998,35.686,0.0,0.0,,,,,,,,,,92197.0,21450495.0,841.2,3.616,130874.0,5.132000000000001,0.0,3537.1,tests performed,8402191.0,6457966.0,1944225.0,146718.0,128784.0,32.95,25.33,7.62,5050.0,,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.9440000000000001,,Australia,AUS,East Asia & Pacific,1_High income,,
560,AUT,Europe,Austria,2021-07-06,650901.0,84.0,78.286,10718.0,5.0,2.571,72270.94099999999,9.327,8.692,1190.0430000000001,0.555,0.28600000000000003,,,,,,,,,,,,,,,,,,,8247336.0,4929890.0,3452268.0,79367.0,84234.0,91.57,54.74,38.33,9353.0,,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,Austria,AUT,Europe & Central Asia,1_High income,,EMU
655,AZE,Asia,Azerbaijan,2021-07-06,336557.0,78.0,85.14299999999999,4978.0,0.0,0.7140000000000001,33193.726,7.693,8.397,490.967,0.0,0.07,,,,,,,,,,9952.0,3802992.0,375.079,0.982,8937.0,0.8809999999999999,0.01,105.0,tests performed,3855455.0,2371796.0,1483659.0,61922.0,61888.0,38.03,23.39,14.63,6104.0,,10139175.0,119.309,32.4,6.018,3.8710000000000004,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.7559999999999999,,Azerbaijan,AZE,Europe & Central Asia,2_Upper middle income,IBRD,
786,BHR,Asia,Bahrain,2021-07-06,266685.0,128.0,148.857,1366.0,3.0,2.1430000000000002,156727.58800000002,75.22399999999999,87.48200000000001,802.7819999999999,1.7630000000000001,1.2590000000000001,,,,,,,,,,11188.0,5100599.0,2997.5609999999997,6.575,12228.0,7.186,0.012,82.1,units unclear,2159252.0,1077727.0,1008024.0,5251.0,6108.0,126.9,63.34,59.24,3590.0,,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,Bahrain,BHR,Middle East & North Africa,1_High income,,
1105,BEL,Europe,Belgium,2021-07-06,1089105.0,742.0,650.714,25194.0,4.0,3.429,93972.484,64.023,56.146,2173.843,0.345,0.29600000000000004,,,,,,,,,,,,,,,,,,,11571686.0,7462085.0,4386104.0,110511.0,100586.0,99.85,64.39,37.85,8679.0,,11589616.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.9309999999999999,,Belgium,BEL,Europe & Central Asia,1_High income,,EMU
1125,BLZ,North America,Belize,2021-07-06,13409.0,18.0,26.0,330.0,0.0,0.14300000000000002,33723.068,45.269,65.389,829.936,0.0,0.359,,,,,,,,,,,159538.0,401.231,,945.0,2.377,0.027999999999999997,36.3,tests performed,131938.0,96569.0,35369.0,3969.0,2313.0,33.18,24.29,8.9,5817.0,66.67,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,176.957,17.11,,,90.083,1.3,74.62,0.716,,Belize,BLZ,Latin America & Caribbean,3_Lower middle income,IBRD,
1393,BRA,South America,Brazil,2021-07-06,18855015.0,62504.0,48815.71400000001,526892.0,1780.0,1558.1429999999998,88704.683,294.05400000000003,229.657,2478.799,8.374,7.33,,,,,,,,,,,,,,,,,,,107628177.0,79467536.0,28160641.0,718954.0,1257242.0,50.63,37.39,13.25,5915.0,,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,75.88,0.765,,Brazil,BRA,Latin America & Caribbean,2_Upper middle income,IBRD,
1612,BGR,Europe,Bulgaria,2021-07-06,422238.0,87.0,69.571,18127.0,2.0,11.142999999999999,60767.265,12.520999999999999,10.013,2608.785,0.28800000000000003,1.604,,,,,,,,,,19670.0,3256320.0,468.64,2.8310000000000004,13440.0,1.9340000000000002,0.005,193.2,tests performed,1810576.0,980315.0,830261.0,11701.0,8902.0,26.06,14.11,11.95,1281.0,,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.816,,Bulgaria,BGR,Europe & Central Asia,2_Upper middle income,IBRD,
1743,KHM,Asia,Cambodia,2021-07-06,56122.0,935.0,981.0,779.0,31.0,29.143,3356.7859999999996,55.924,58.676,46.593999999999994,1.854,1.743,,,,,,,,,,,1397664.0,83.59700000000001,,6527.0,0.39,0.15,6.7,tests performed,8031138.0,4654451.0,3376687.0,101760.0,133951.0,48.04,27.84,20.2,8012.0,,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,Cambodia,KHM,East Asia & Pacific,3_Lower middle income,IDA,
1938,CAN,North America,Canada,2021-07-06,1425537.0,270.0,473.0,26345.0,9.0,14.142999999999999,37770.417,7.154,12.532,698.0260000000001,0.23800000000000002,0.375,,353.0,9.353,746.0,19.766,,,,,,,,,,,,,,40187887.0,25988670.0,14199217.0,486501.0,487382.0,106.48,68.86,37.62,12913.0,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43,0.929,,Canada,CAN,North America,1_High income,,
1999,CYM,North America,Cayman Islands,2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94093.0,48665.0,45504.0,,112.0,143.17,74.05,69.24,1704.0,,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,Cayman Islands,CYM,Latin America & Caribbean,1_High income,,
2177,CHL,South America,Chile,2021-07-06,1574465.0,1857.0,2955.857,33288.0,39.0,114.14299999999999,82362.826,97.14299999999999,154.626,1741.349,2.04,5.971,,,,,,,,,,,,,,,,,,,23545029.0,12978369.0,11028911.0,111288.0,112869.0,123.17,67.89,57.69,5904.0,,19116209.0,24.281999999999996,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,Chile,CHL,Latin America & Caribbean,1_High income,IBRD,
