,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
75289,RUS,Europe,Russia,2021-03-02,4220291.0,10441.0,11166.428999999998,85458.0,433.0,398.85699999999997,28919.085,71.546,76.517,585.592,2.967,2.733,0.91,,,,,,,,,285119.0,111834548.0,766.334,1.954,284810.0,1.952,0.039,25.5,tests performed,5249831.0,4158334.0,1091497.0,,88538.0,3.6,2.85,0.75,607.0,45.83,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,72.58,0.8240000000000001,
75290,RUS,Europe,Russia,2021-03-03,4230707.0,10416.0,10996.0,85901.0,443.0,408.14300000000003,28990.459,71.375,75.34899999999999,588.627,3.036,2.7969999999999997,0.91,,,,,,,,,343927.0,112178475.0,768.691,2.3569999999999998,310684.0,2.129,0.035,28.3,tests performed,5489342.0,4287423.0,1201919.0,239511.0,110106.0,3.76,2.94,0.82,754.0,45.83,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,72.58,0.8240000000000001,
75291,RUS,Europe,Russia,2021-03-04,4241970.0,11263.0,11024.0,86368.0,467.0,412.42900000000003,29067.638,77.178,75.541,591.827,3.2,2.826,0.91,,,,,,,,,362296.0,112540771.0,771.173,2.483,324508.0,2.224,0.034,29.4,tests performed,6010744.0,4701175.0,1309569.0,521402.0,171943.0,4.12,3.22,0.9,1178.0,45.83,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,72.58,0.8240000000000001,
75292,RUS,Europe,Russia,2021-03-05,4252876.0,10906.0,11017.0,86821.0,453.0,417.286,29142.37,74.732,75.493,594.931,3.1039999999999996,2.859,0.91,,,,,,,,,385253.0,112926024.0,773.813,2.64,327446.0,2.244,0.034,29.7,tests performed,6301854.0,4908178.0,1393676.0,291110.0,200882.0,4.32,3.36,0.96,1377.0,40.28,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,72.58,0.8240000000000001,
75293,RUS,Europe,Russia,2021-03-06,4263785.0,10909.0,10945.571000000002,87253.0,432.0,417.57099999999997,29217.123,74.753,75.003,597.8919999999999,2.96,2.861,0.91,,,,,,,,,354205.0,113280229.0,776.24,2.427,321245.0,2.201,0.034,29.3,tests performed,6583873.0,5082127.0,1501746.0,282019.0,228522.0,4.51,3.48,1.03,1566.0,40.28,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,72.58,0.8240000000000001,
75294,RUS,Europe,Russia,2021-03-07,4274263.0,10478.0,10837.571000000002,87614.0,361.0,416.286,29288.922000000002,71.79899999999999,74.263,600.365,2.474,2.853,0.9,,,,,,,,,281959.0,113562188.0,778.173,1.932,316611.0,2.17,0.034,29.2,tests performed,6655487.0,5128138.0,1527349.0,71614.0,226105.0,4.56,3.51,1.05,1549.0,40.28,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,72.58,0.8240000000000001,
75295,RUS,Europe,Russia,2021-03-08,4284408.0,10145.0,10651.143,87985.0,371.0,422.85699999999997,29358.439,69.518,72.986,602.908,2.542,2.898,0.9,,,,,,,,,,,,,320328.0,2.195,0.033,30.1,tests performed,6669466.0,5136605.0,1532861.0,13979.0,215453.0,4.57,3.52,1.05,1476.0,40.28,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,72.58,0.8240000000000001,
75296,RUS,Europe,Russia,2021-03-09,4293750.0,9342.0,10494.143,88315.0,330.0,408.14300000000003,29422.453999999998,64.015,71.91,605.169,2.261,2.7969999999999997,0.9,,,,,,,,,,,,,312389.0,2.141,0.034,29.8,tests performed,6694349.0,5149589.0,1544760.0,24883.0,206360.0,4.59,3.53,1.06,1414.0,40.28,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,72.58,0.8240000000000001,
75297,RUS,Europe,Russia,2021-03-10,4302726.0,8976.0,10288.429,88773.0,458.0,410.286,29483.961,61.507,70.5,608.307,3.138,2.8110000000000004,0.9,,,,,,,,,,,,,296048.0,2.029,0.035,28.8,tests performed,7048129.0,5272651.0,1775478.0,353780.0,222684.0,4.83,3.61,1.22,1526.0,40.28,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,72.58,0.8240000000000001,
75298,RUS,Europe,Russia,2021-03-11,4311893.0,9167.0,9989.0,89224.0,451.0,408.0,29546.777000000002,62.816,68.449,611.398,3.09,2.7960000000000003,0.9,,,,,,,,,,114480349.0,784.4639999999999,,277083.0,1.899,0.036000000000000004,27.7,tests performed,7273933.0,5366009.0,1907924.0,225804.0,180456.0,4.98,3.68,1.31,1237.0,40.28,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,72.58,0.8240000000000001,
75304,RUS,Europe,Russia,2021-03-17,4368943.0,8910.0,9459.571,91815.0,420.0,434.57099999999997,29937.706000000002,61.055,64.821,629.1519999999999,2.878,2.978,0.94,,,,,,,,,,,,,310445.0,2.127,0.03,32.8,tests performed,7818009.0,5379359.0,2438650.0,,109983.0,5.36,3.69,1.67,754.0,40.28,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,72.58,0.8240000000000001,
